machine_frame,rendered,delta,camera,stage,lives
1,0,0,0,4,2
2,0,0,0,4,2
3,0,0,0,4,2
4,0,0,0,4,2
5,0,0,0,4,2
6,0,0,0,4,2
7,0,0,0,4,2
8,0,0,0,4,2
9,0,0,0,4,2
10,0,0,0,4,2
11,0,0,0,4,2
12,0,0,0,4,2
13,0,0,0,4,2
14,0,0,0,4,2
15,0,0,0,4,2
16,0,0,0,4,2
17,0,0,0,4,2
18,0,0,0,4,2
19,0,0,0,4,2
20,0,0,0,4,2
21,0,0,0,4,2
22,0,0,0,4,2
23,1,1,0,4,2
24,1,0,0,4,2
25,1,0,0,4,2
26,1,0,0,4,2
27,1,0,0,4,2
28,2,1,0,4,2
29,2,0,0,4,2
30,2,0,0,4,2
31,2,0,0,4,2
32,3,1,1,4,2
33,3,0,1,4,2
34,3,0,1,4,2
35,3,0,1,4,2
36,3,0,1,4,2
37,4,1,2,4,2
38,4,0,2,4,2
39,4,0,2,4,2
40,4,0,2,4,2
41,4,0,2,4,2
42,5,1,3,4,2
43,5,0,3,4,2
44,5,0,3,4,2
45,5,0,3,4,2
46,6,1,4,4,2
47,6,0,4,4,2
48,6,0,4,4,2
49,6,0,4,4,2
50,7,1,5,4,2
51,7,0,5,4,2
52,7,0,5,4,2
53,7,0,5,4,2
54,7,0,5,4,2
55,8,1,5,4,2
56,8,0,5,4,2
57,8,0,5,4,2
58,8,0,5,4,2
59,9,1,6,4,2
60,9,0,6,4,2
61,9,0,6,4,2
62,9,0,6,4,2
63,9,0,6,4,2
64,10,1,7,4,2
65,10,0,7,4,2
66,10,0,7,4,2
67,10,0,7,4,2
68,10,0,7,4,2
69,10,0,7,4,2
70,11,1,8,4,2
71,11,0,8,4,2
72,11,0,8,4,2
73,11,0,8,4,2
74,11,0,8,4,2
75,12,1,9,4,2
76,12,0,9,4,2
77,12,0,9,4,2
78,12,0,9,4,2
79,12,0,9,4,2
80,13,1,10,4,2
81,13,0,10,4,2
82,13,0,10,4,2
83,13,0,10,4,2
84,14,1,11,4,2
85,14,0,11,4,2
86,14,0,11,4,2
87,14,0,11,4,2
88,14,0,11,4,2
89,15,1,12,4,2
90,15,0,12,4,2
91,15,0,12,4,2
92,15,0,12,4,2
93,15,0,12,4,2
94,16,1,13,4,2
95,16,0,13,4,2
96,16,0,13,4,2
97,16,0,13,4,2
98,16,0,13,4,2
99,17,1,14,4,2
100,17,0,14,4,2
101,17,0,14,4,2
102,17,0,14,4,2
103,17,0,14,4,2
104,18,1,15,4,2
105,18,0,15,4,2
106,18,0,15,4,2
107,18,0,15,4,2
108,18,0,15,4,2
109,19,1,15,4,2
110,19,0,15,4,2
111,19,0,15,4,2
112,19,0,15,4,2
113,19,0,15,4,2
114,20,1,16,4,2
115,20,0,16,4,2
116,20,0,16,4,2
117,20,0,16,4,2
118,20,0,16,4,2
119,21,1,17,4,2
120,21,0,17,4,2
121,21,0,17,4,2
122,21,0,17,4,2
123,21,0,17,4,2
124,22,1,18,4,2
125,22,0,18,4,2
126,22,0,18,4,2
127,22,0,18,4,2
128,22,0,18,4,2
129,23,1,19,4,2
130,23,0,19,4,2
131,23,0,19,4,2
132,23,0,19,4,2
133,23,0,19,4,2
134,24,1,20,4,2
135,24,0,20,4,2
136,24,0,20,4,2
137,24,0,20,4,2
138,24,0,20,4,2
139,25,1,21,4,2
140,25,0,21,4,2
141,25,0,21,4,2
142,25,0,21,4,2
143,25,0,21,4,2
144,26,1,22,4,2
145,26,0,22,4,2
146,26,0,22,4,2
147,26,0,22,4,2
148,26,0,22,4,2
149,27,1,23,4,2
