machine_frame,rendered,delta,camera,stage,lives
1,0,0,0,4,2
2,0,0,0,4,2
3,0,0,0,4,2
4,0,0,0,4,2
5,0,0,0,4,2
6,0,0,0,4,2
7,0,0,0,4,2
8,0,0,0,4,2
9,0,0,0,4,2
10,0,0,0,4,2
11,0,0,0,4,2
12,0,0,0,4,2
13,0,0,0,4,2
14,0,0,0,4,2
15,0,0,0,4,2
16,0,0,0,4,2
17,1,1,0,4,2
18,1,0,0,4,2
19,1,0,0,4,2
20,1,0,0,4,2
21,1,0,0,4,2
22,2,1,0,4,2
23,2,0,0,4,2
24,2,0,0,4,2
25,2,0,0,4,2
26,3,1,1,4,2
27,3,0,1,4,2
28,3,0,1,4,2
29,3,0,1,4,2
30,3,0,1,4,2
31,4,1,2,4,2
32,4,0,2,4,2
33,4,0,2,4,2
34,4,0,2,4,2
35,4,0,2,4,2
36,5,1,3,4,2
37,5,0,3,4,2
38,5,0,3,4,2
39,5,0,3,4,2
40,6,1,4,4,2
41,6,0,4,4,2
42,6,0,4,4,2
43,6,0,4,4,2
44,7,1,5,4,2
45,7,0,5,4,2
46,7,0,5,4,2
47,7,0,5,4,2
48,7,0,5,4,2
49,8,1,5,4,2
50,8,0,5,4,2
51,8,0,5,4,2
52,8,0,5,4,2
53,9,1,6,4,2
54,9,0,6,4,2
55,9,0,6,4,2
56,9,0,6,4,2
57,9,0,6,4,2
58,10,1,7,4,2
59,10,0,7,4,2
60,10,0,7,4,2
61,10,0,7,4,2
62,10,0,7,4,2
63,10,0,7,4,2
64,11,1,8,4,2
65,11,0,8,4,2
66,11,0,8,4,2
67,11,0,8,4,2
68,11,0,8,4,2
69,12,1,9,4,2
70,12,0,9,4,2
71,12,0,9,4,2
72,12,0,9,4,2
73,12,0,9,4,2
74,13,1,10,4,2
75,13,0,10,4,2
76,13,0,10,4,2
77,13,0,10,4,2
78,14,1,11,4,2
79,14,0,11,4,2
80,14,0,11,4,2
81,14,0,11,4,2
82,14,0,11,4,2
83,15,1,12,4,2
84,15,0,12,4,2
85,15,0,12,4,2
86,15,0,12,4,2
87,15,0,12,4,2
88,16,1,13,4,2
89,16,0,13,4,2
90,16,0,13,4,2
91,16,0,13,4,2
92,16,0,13,4,2
93,17,1,14,4,2
94,17,0,14,4,2
95,17,0,14,4,2
96,17,0,14,4,2
97,17,0,14,4,2
98,18,1,15,4,2
99,18,0,15,4,2
100,18,0,15,4,2
101,18,0,15,4,2
102,18,0,15,4,2
103,19,1,15,4,2
104,19,0,15,4,2
105,19,0,15,4,2
106,19,0,15,4,2
107,19,0,15,4,2
108,20,1,16,4,2
109,20,0,16,4,2
110,20,0,16,4,2
111,20,0,16,4,2
112,20,0,16,4,2
113,21,1,17,4,2
114,21,0,17,4,2
115,21,0,17,4,2
116,21,0,17,4,2
117,21,0,17,4,2
118,22,1,18,4,2
119,22,0,18,4,2
120,22,0,18,4,2
121,22,0,18,4,2
122,22,0,18,4,2
123,23,1,19,4,2
124,23,0,19,4,2
125,23,0,19,4,2
126,23,0,19,4,2
127,23,0,19,4,2
128,24,1,20,4,2
129,24,0,20,4,2
130,24,0,20,4,2
131,24,0,20,4,2
132,24,0,20,4,2
133,25,1,21,4,2
134,25,0,21,4,2
135,25,0,21,4,2
136,25,0,21,4,2
137,25,0,21,4,2
138,26,1,22,4,2
139,26,0,22,4,2
140,26,0,22,4,2
141,26,0,22,4,2
142,26,0,22,4,2
143,27,1,23,4,2
144,27,0,23,4,2
145,27,0,23,4,2
146,27,0,23,4,2
147,27,0,23,4,2
148,27,0,23,4,2
149,28,1,24,4,2
