file,name,type,visibility,description,old file,old name
graphics/buffer/gfxlock.asm,gfxlock.backBuffer.id,variable,public,back buffer id set to write operations (0 or 1),graphics/vbl/WaitVbl.asm,glb_Cur_Wrk_Screen_Id
graphics/buffer/gfxlock.asm,gfxlock.backProcess.routine,variable,private,routine address for back process during wait time,n/a,n/a
graphics/buffer/gfxlock.asm,gfxlock.backProcess.status,variable,private,set if a back process routine is active during wait time,n/a,n/a
graphics/buffer/gfxlock.asm,gfxlock.bufferSwap.count,variable,public,buffer swap counter,graphics/vbl/WaitVbl.asm,glb_Main_runcount
graphics/buffer/gfxlock.asm,gfxlock.bufferSwap.status,variable,private,lock during beam wait routine,n/a,n/a
graphics/buffer/gfxlock.asm,gfxlock.frame.count,variable,public,incremented in 50Hz IRQ,graphics/vbl/WaitVbl.asm,Vint_runcount
graphics/buffer/gfxlock.asm,gfxlock.frame.lastCount,variable,private,used to compute duration,graphics/vbl/WaitVbl.asm,Vint_Last_runcount
graphics/buffer/gfxlock.asm,gfxlock.frameDrop.count_w,variable,public,elapsed 50Hz frames since last main game loop,graphics/vbl/WaitVbl.asm,Vint_Main_runcount_w
graphics/buffer/gfxlock.asm,gfxlock.frameDrop.count,variable,public,msb zero pad for drop,graphics/vbl/WaitVbl.asm,Vint_Main_runcount
graphics/buffer/gfxlock.asm,gfxlock.status,variable,private,lock during gfx writes to video buffer,n/a,n/a
graphics/buffer/gfxlock.asm,gfxlock.screenBorder.color,variable,public,border color that is applied when buffer is swapped,graphics/vbl/WaitVbl.asm,glb_screen_border_color
graphics/buffer/gfxlock.asm,gfxlock.bufferSwap.check,routine,public,routine that call swapBuffer (in a 50hz irq),n/a,n/a
graphics/buffer/gfxlock.asm,gfxlock.bufferSwap.do,routine,private,swap visible and back video buffer,n/a,n/a
graphics/buffer/gfxlock.asm,gfxlock.bufferSwap.wait,routine,private,wait for beam to be outside of visible area,n/a,n/a
graphics/buffer/gfxlock.asm,_gfxlock.backProcess.on,macro,public,set and activate a back process routine during wait time,n/a,n/a
graphics/buffer/gfxlock.asm,_gfxlock.backProcess.off,macro,public,inactivate the back process routine during wait time,n/a,n/a
graphics/buffer/gfxlock.macro.asm,_gfxlock.init,macro,public,init called before rendering anything on video buffer,n/a,n/a
graphics/buffer/gfxlock.macro.asm,_gfxlock.off,macro,public,should be called when no more data is written to video buffer until next main loop,n/a,n/a
graphics/buffer/gfxlock.macro.asm,_gfxlock.on,macro,public,should be called before any write to video buffer,n/a,n/a
graphics/buffer/gfxlock.macro.asm,_gfxlock.loop,macro,public,should be called at the end of main loop,n/a,n/a
system/to8/map.const.asm,map.CF74021.DATA,constant,public,gate array page mode (ram page in data area),system/to8/memory-map.equ,CF74021.DATA
system/to8/map.const.asm,map.CF74021.SYS1,constant,public,gate array page mode (beam visibility),system/to8/memory-map.equ,CF74021.SYS1
system/to8/map.const.asm,map.CF74021.SYS2,constant,public,gate array page mode (visible video ram page),system/to8/memory-map.equ,CF74021.SYS2
system/to8/map.const.asm,map.IRQ.ONE_FRAME,constant,public,timer for one 50hz frame,system/to8/memory-map.equ,IRQ.ONEFRAME
system/to8/map.const.asm,map.MC6846.PRC,constant,public,gate array page mode (ram page in video area),system/to8/memory-map.equ,MC6846.PRC
/engine/6809/macros.asm,,,,TODO list macros,/engine/macros.asm,
/engine/6809/types.const.asm,,,,TODO list constants,/engine/constants.asm,
/engine/global/glb.init.asm,glb.init,routine,public,,/engine/InitGlobals.asm,InitGlobals
/engine/system/to8/irq/irq.asm,irq.ONE_LINE,constant,public,,/engine/irq/Irq.asm,Irq_one_line
/engine/system/to8/irq/irq.asm,irq.ONE_FRAME,constant,public,,/engine/irq/Irq.asm,Irq_one_frame
