v2_path,v1_path,v1_commit,imported_on,deviations
engine/constants.asm,engine/constants.asm,1d3db8b7edf02f7a73b55bea8c3eeb0a7fd389f1,2026-07-31,
engine/macros.asm,engine/macros.asm,cacf9b3c321b1d216ba08383b5979ae96d420b1a,2026-07-31,
engine/irq/Irq.asm,engine/irq/Irq.asm,ee123fff26f5271f47a83b4a2a5f2fab8151167f,2026-07-31,setdp neutralized (obj target)
engine/graphics/buffer/gfxlock.asm,engine/graphics/buffer/gfxlock.asm,1d3db8b7edf02f7a73b55bea8c3eeb0a7fd389f1,2026-07-31,
engine/graphics/buffer/gfxlock.macro.asm,engine/graphics/buffer/gfxlock.macro.asm,bc2a6189e4b620af6d2fa9a6bbeee86a850e6dc9,2026-07-31,
engine/palette/PalUpdateNow.asm,engine/palette/PalUpdateNow.asm,ec0fdcdcde5ca5769dc56ebed5d1f7ba5cfb5067,2026-07-31,setdp neutralized (obj target)
engine/palette/PalUpdateNowLean.asm,engine/palette/PalUpdateNowLean.asm,d5c2811cf01c83c94d0a3000642d83de45dc64fd,2026-07-31,setdp neutralized (obj target)
engine/InitGlobals.asm,engine/InitGlobals.asm,cf6e765e147b1a17c46e20eabb07bdb9980425ed,2026-07-31,
engine/keyboard/ReadKeyboard.asm,engine/keyboard/ReadKeyboard.asm,054daefca4d714c6c2d018d2e8ac70a89ac20ee6,2026-07-31,
engine/keyboard/MapKeyboardToJoypads.asm,engine/keyboard/MapKeyboardToJoypads.asm,054daefca4d714c6c2d018d2e8ac70a89ac20ee6,2026-07-31,
engine/ram/BankSwitch.asm,engine/ram/BankSwitch.asm,f873642ee58b8c6d294d174a68d1124392daf3ae,2026-07-31,
engine/ram/ClearDataMemory.asm,engine/ram/ClearDataMemory.asm,44f78add41b5dc2813f87f7b92361e3e55742e79,2026-07-31,
engine/math/RandomNumber.asm,engine/math/RandomNumber.asm,736d8370c22d8608160c91cdeefe5fe9247c217c,2026-07-31,
engine/system/to8/memory-map.equ,engine/system/to8/memory-map.equ,549c7db3cfee7f550060fa7f44266a614504f527,2026-07-31,
engine/sound/ymm.asm,engine/objects/sound/ymm/ymm.asm,2eae7b21fb37d59ebb974b955dba2598933690d9,2026-07-31,KEPT-V2: v2-native player (EXPORT/load-time link + dynamic sound ports) ; watch v1 - manual resync
engine/sound/ymm.const.asm,engine/objects/sound/ymm/ymm.const.asm,9929431cc9117fbbabe4e98a31fd16716e1ec2a5,2026-07-31,KEPT-V2: v2-native player (EXPORT/load-time link + dynamic sound ports) ; watch v1 - manual resync
engine/sound/ymm.macro.asm,engine/objects/sound/ymm/ymm.macro.asm,9929431cc9117fbbabe4e98a31fd16716e1ec2a5,2026-07-31,KEPT-V2: v2-native player (EXPORT/load-time link + dynamic sound ports) ; watch v1 - manual resync
engine/sound/vgc.asm,engine/objects/sound/vgc/vgc.asm,e169e3967dfbd78d55dffd2f0b88b513cacd4db0,2026-07-31,KEPT-V2: v2-native player (EXPORT/load-time link + dynamic sound ports) ; watch v1 - manual resync
engine/pack/ymm.asm,engine/objects/sound/ymm/ymm.asm,2eae7b21fb37d59ebb974b955dba2598933690d9,2026-07-31,KEPT-V2: v2-native player (EXPORT/load-time link + dynamic sound ports) ; watch v1 - manual resync
engine/pack/vgc.asm,engine/objects/sound/vgc/vgc.asm,e169e3967dfbd78d55dffd2f0b88b513cacd4db0,2026-07-31,KEPT-V2: v2-native player (EXPORT/load-time link + dynamic sound ports) ; watch v1 - manual resync
engine/sound/sn76489.asm,engine/sound/sn76489.asm,33894e62154c7a1ed8a6edb304d003a9a33d7d71,2026-07-31,KEPT-V2: v2-native player (EXPORT/load-time link + dynamic sound ports) ; watch v1 - manual resync
engine/sound/ym2413.asm,engine/sound/ym2413.asm,33894e62154c7a1ed8a6edb304d003a9a33d7d71,2026-07-31,KEPT-V2: v2-native player (EXPORT/load-time link + dynamic sound ports) ; watch v1 - manual resync
engine/compression/zx0/zx0_6809_mega.asm,engine/compression/zx0/zx0_6809_mega.asm,549c7db3cfee7f550060fa7f44266a614504f527,2026-07-31,"KEPT-V2 + align dropped : the self modified bytes are reached extended instead of through DP, so the routine no longer constrains its own placement (+12 bytes, ~6% slower) ; bsr zx0_reload became lbsr"
engine/compression/zx0/zx0_6809_mega_back.asm,engine/compression/zx0/zx0_6809_mega_back.asm,549c7db3cfee7f550060fa7f44266a614504f527,2026-07-31,KEPT-V2: v2-adapted decompressor (loader/cdataz integration) ; watch v1 - manual resync
engine/compression/zx0/zx0_6809_turbo.asm,engine/compression/zx0/zx0_6809_turbo.asm,549c7db3cfee7f550060fa7f44266a614504f527,2026-07-31,KEPT-V2: v2-adapted decompressor (loader/cdataz integration) ; watch v1 - manual resync
engine/graphics/sprite/background-erase-mode/DisplaySprite.asm,engine/graphics/sprite/background-erase-mode/DisplaySprite.asm,adfec9e322b38c4cd8fce0a753273f582ea95337,2026-08-01,
engine/graphics/sprite/background-erase-mode/CheckSpritesRefresh.asm,engine/graphics/sprite/background-erase-mode/CheckSpritesRefresh.asm,c1ebbd956d92eae791b49317f7bbc3cd888c4eac,2026-08-01"setdp neutralized (obj target)",setdp neutralized (obj target)
engine/graphics/sprite/background-erase-mode/EraseSprites.asm,engine/graphics/sprite/background-erase-mode/EraseSprites.asm,f4cc97671e7c4c907dfc74859373587fa56fb7bf,2026-08-01"erase margin 16 -> 12 (v2 irq switches S first,erase margin 16 -> 12 (v2 irq switches S first ; only the hardware push hits the user stack)
engine/graphics/sprite/background-erase-mode/UnsetDisplayPriority.asm,engine/graphics/sprite/background-erase-mode/UnsetDisplayPriority.asm,1d3db8b7edf02f7a73b55bea8c3eeb0a7fd389f1,2026-08-01,
engine/graphics/sprite/background-erase-mode/DrawSpritesExtEnc.asm,engine/graphics/sprite/background-erase-mode/DrawSpritesExtEnc.asm,0b9c7a6af6621dc89d6e106bd0e1eef5a325966b,2026-08-01,
engine/graphics/sprite/background-erase-mode/BgBufferAlloc.asm,engine/graphics/sprite/background-erase-mode/BgBufferAlloc.asm,c1ebbd956d92eae791b49317f7bbc3cd888c4eac,2026-08-01,
engine/graphics/sprite/background-erase-mode/DeleteObject.asm,engine/graphics/sprite/background-erase-mode/DeleteObject.asm,1d3db8b7edf02f7a73b55bea8c3eeb0a7fd389f1,2026-08-01,
engine/graphics/sprite/sprite-background-erase-ext-pack.asm,engine/graphics/sprite/sprite-background-erase-ext-pack.asm,cf6e765e147b1a17c46e20eabb07bdb9980425ed,2026-08-01,
engine/object-management/RunObjects.asm,engine/object-management/RunObjects.asm,ba262206ef9c88ce6cc6e6d8a343d7336774d2a5,2026-08-01,
engine/graphics/animation/AnimateSprite.asm,engine/graphics/animation/AnimateSprite.asm,f34bbf394477ff59002fbd545c8d3e2bd1eb8b95,2026-08-01,
engine/graphics/animation/constants-animation.equ,engine/graphics/animation/constants-animation.equ,f873642ee58b8c6d294d174a68d1124392daf3ae,2026-08-01,
engine/graphics/vbl/WaitVBL.asm,engine/graphics/vbl/WaitVBL.asm,1d3db8b7edf02f7a73b55bea8c3eeb0a7fd389f1,2026-08-01,
engine/graphics/clear/ClearInterlacedDataMemory.asm,engine/graphics/clear/ClearInterlacedDataMemory.asm,f873642ee58b8c6d294d174a68d1124392daf3ae,2026-08-01,
engine/graphics/codec/zx0_mega.asm,engine/graphics/codec/zx0_mega.asm,0b9c7a6af6621dc89d6e106bd0e1eef5a325966b,2026-08-01,"explicit < on the two glb loads (obj target forbids SETDP, which is what made them direct in v1) ; page fill and trailing setdp dropped, the decoder no longer needs aligning"
