trame,fps,phase
25,24.00,revelation
30,26.00,revelation
35,24.00,revelation
40,24.00,revelation
45,22.00,revelation
50,20.00,revelation
55,18.00,revelation
60,18.00,revelation
65,16.00,revelation
70,16.00,revelation
75,18.00,saisie
80,18.00,saisie
85,20.00,saisie
90,22.00,saisie
95,24.00,saisie
100,24.00,saisie
105,26.00,saisie
110,24.00,saisie
115,26.00,saisie
120,24.00,saisie
125,26.00,saisie
130,24.00,saisie
135,26.00,saisie
140,24.00,saisie
145,26.00,saisie
150,24.00,saisie
155,26.00,saisie
160,24.00,saisie
165,26.00,saisie
170,24.00,saisie
175,24.00,saisie
180,22.00,saisie
185,20.00,saisie
190,18.00,saisie
195,18.00,saisie
200,16.00,saisie
205,16.00,saisie
210,18.00,saisie
215,16.00,saisie
220,16.00,saisie
225,18.00,saisie
230,16.00,saisie
235,16.00,saisie
240,18.00,saisie
245,16.00,saisie
250,16.00,saisie
255,18.00,saisie
260,16.00,saisie
265,16.00,saisie
270,16.00,saisie
275,16.00,saisie
280,14.00,saisie
285,16.00,saisie
290,14.00,saisie
295,14.00,saisie
300,12.00,saisie
305,14.00,saisie
310,12.00,saisie
315,12.00,saisie
320,12.00,saisie
325,14.00,saisie
330,12.00,saisie
335,12.00,saisie
340,12.00,saisie
345,14.00,saisie
350,12.00,saisie
355,12.00,saisie
360,12.00,saisie
365,14.00,saisie
370,14.00,saisie
375,14.00,saisie
380,16.00,saisie
385,18.00,saisie
390,16.00,saisie
395,16.00,saisie
400,18.00,saisie
405,16.00,saisie
410,16.00,saisie
415,18.00,saisie
420,16.00,saisie
425,16.00,saisie
430,18.00,saisie
435,16.00,saisie
440,16.00,saisie
445,18.00,saisie
450,16.00,saisie
455,16.00,saisie
460,18.00,saisie
465,16.00,saisie
470,16.00,saisie
475,18.00,saisie
480,16.00,saisie
485,16.00,saisie
490,18.00,saisie
495,16.00,saisie
500,16.00,saisie
505,18.00,saisie
510,16.00,saisie
515,16.00,saisie
520,18.00,saisie
525,16.00,saisie
530,16.00,saisie
535,18.00,saisie
540,16.00,saisie
545,16.00,saisie
550,18.00,saisie
555,16.00,saisie
560,16.00,saisie
565,18.00,saisie
570,16.00,saisie
575,16.00,saisie
580,18.00,saisie
585,16.00,saisie
590,16.00,saisie
595,18.00,saisie
600,16.00,saisie
605,16.00,saisie
610,18.00,saisie
615,16.00,saisie
620,16.00,saisie
625,18.00,saisie
630,16.00,saisie
635,16.00,saisie
640,18.00,saisie
645,16.00,saisie
650,16.00,saisie
