trame,fps,phase
25,26.00,revelation
30,24.00,revelation
35,26.00,revelation
40,24.00,revelation
45,26.00,revelation
50,24.00,revelation
55,26.00,revelation
60,24.00,revelation
65,26.00,revelation
70,24.00,revelation
75,26.00,revelation
80,24.00,revelation
85,26.00,saisie
90,22.00,saisie
95,22.00,saisie
100,20.00,saisie
105,18.00,saisie
110,16.00,saisie
115,18.00,saisie
120,16.00,saisie
125,16.00,saisie
130,18.00,saisie
135,16.00,saisie
140,16.00,saisie
145,18.00,saisie
150,16.00,saisie
155,16.00,saisie
160,18.00,saisie
165,16.00,saisie
170,16.00,saisie
175,18.00,saisie
180,16.00,saisie
185,16.00,saisie
190,18.00,saisie
195,16.00,saisie
200,16.00,saisie
205,18.00,saisie
210,16.00,saisie
215,16.00,saisie
220,18.00,saisie
225,16.00,saisie
230,16.00,saisie
235,18.00,saisie
240,16.00,saisie
245,16.00,saisie
250,18.00,saisie
255,16.00,saisie
260,16.00,saisie
265,18.00,saisie
270,16.00,saisie
275,16.00,saisie
280,18.00,saisie
285,16.00,saisie
290,16.00,saisie
295,18.00,saisie
300,16.00,saisie
305,16.00,saisie
310,16.00,saisie
315,14.00,saisie
320,12.00,saisie
325,14.00,saisie
330,12.00,saisie
335,12.00,saisie
340,12.00,saisie
345,14.00,saisie
350,12.00,saisie
355,12.00,saisie
360,12.00,saisie
365,14.00,saisie
370,12.00,saisie
375,12.00,saisie
380,12.00,saisie
385,14.00,saisie
390,12.00,saisie
395,12.00,saisie
400,12.00,saisie
405,14.00,saisie
410,12.00,saisie
415,12.00,saisie
420,12.00,saisie
425,14.00,saisie
430,12.00,saisie
435,12.00,saisie
440,12.00,saisie
445,14.00,saisie
450,12.00,saisie
455,12.00,saisie
460,12.00,saisie
465,14.00,saisie
470,12.00,saisie
475,12.00,saisie
480,12.00,saisie
485,14.00,saisie
490,12.00,saisie
495,12.00,saisie
500,12.00,saisie
505,14.00,saisie
510,12.00,saisie
515,12.00,saisie
520,12.00,saisie
525,14.00,saisie
530,12.00,saisie
535,12.00,saisie
540,12.00,saisie
545,14.00,saisie
550,12.00,saisie
555,12.00,saisie
560,12.00,saisie
565,14.00,saisie
570,12.00,saisie
575,12.00,saisie
580,12.00,saisie
585,14.00,saisie
590,12.00,saisie
595,12.00,saisie
600,12.00,saisie
605,14.00,saisie
610,12.00,saisie
615,12.00,saisie
620,12.00,saisie
625,14.00,saisie
630,12.00,saisie
635,12.00,saisie
640,12.00,saisie
645,14.00,saisie
650,12.00,saisie
655,12.00,saisie
660,12.00,saisie
