name,x,y,w,h
part00,264,12,12,18
part01,252,30,18,30
part02,243,60,12,12
part03,234,66,9,18
part04,225,72,9,12
part05,216,78,9,18
part06,231,96,15,24
part07,216,120,15,24
part08,231,120,9,24
part09,240,120,9,24
part10,249,108,9,24
part11,258,108,9,24
part12,267,96,18,36
part13,285,84,18,30
part14,303,102,9,42
part15,360,108,15,36
part16,375,96,21,24
part17,396,108,9,36
part18,420,90,12,24
part19,417,48,15,18
part20,402,42,15,24
part21,384,36,18,24
part22,375,48,9,24
part23,366,54,9,24
part24,351,60,12,18
part25,336,96,21,18
part26,315,66,21,30
part27,312,126,12,18
part28,324,108,12,36
part29,336,120,12,24
part30,348,120,12,24
