machine_frame,rendered,delta,camera,stage,lives
1,0,0,0,2,2
2,0,0,0,2,2
3,0,0,0,2,2
4,0,0,0,2,2
5,0,0,0,2,2
6,0,0,0,2,2
7,0,0,0,2,2
8,0,0,0,2,2
9,0,0,0,2,2
10,0,0,0,2,2
11,0,0,0,2,2
12,0,0,0,2,2
13,0,0,0,2,2
14,0,0,0,2,2
15,0,0,0,2,2
16,0,0,0,2,2
17,0,0,0,2,2
18,0,0,0,2,2
19,0,0,0,2,2
20,0,0,0,2,2
21,0,0,0,2,2
22,0,0,0,2,2
23,0,0,0,2,2
24,0,0,0,2,2
25,0,0,0,2,2
26,0,0,0,2,2
27,0,0,0,2,2
28,0,0,0,2,2
29,0,0,0,2,2
30,0,0,0,2,2
31,0,0,0,2,2
32,0,0,0,2,2
33,0,0,0,2,2
34,0,0,0,2,2
35,0,0,0,2,2
36,0,0,0,2,2
37,0,0,0,2,2
38,0,0,0,2,2
39,0,0,0,2,2
40,0,0,0,2,2
41,0,0,0,2,2
42,0,0,0,2,2
43,0,0,0,2,2
44,0,0,0,2,2
45,0,0,0,2,2
46,0,0,0,2,2
47,0,0,0,2,2
48,0,0,0,2,2
49,0,0,0,2,2
50,0,0,0,2,2
51,0,0,0,2,2
52,0,0,0,2,2
53,0,0,0,2,2
54,0,0,0,2,2
55,0,0,0,2,2
56,0,0,0,2,2
57,0,0,0,2,2
58,0,0,0,2,2
59,0,0,0,2,2
60,0,0,0,2,2
61,0,0,0,2,2
62,0,0,0,2,2
63,0,0,0,2,2
64,0,0,0,2,2
65,0,0,0,2,2
66,0,0,0,2,2
67,0,0,0,2,2
68,0,0,0,2,2
69,0,0,0,2,2
70,0,0,0,2,2
71,0,0,0,2,2
72,0,0,0,2,2
73,0,0,0,2,2
74,0,0,0,2,2
75,0,0,0,2,2
76,0,0,0,2,2
77,0,0,0,2,2
78,0,0,0,2,2
79,0,0,0,2,2
80,0,0,0,2,2
81,0,0,0,2,2
82,0,0,0,2,2
83,0,0,0,2,2
84,1,1,0,2,2
85,1,0,0,2,2
86,1,0,0,2,2
87,1,0,0,2,2
88,1,0,0,2,2
89,2,1,0,2,2
90,2,0,0,2,2
91,2,0,0,2,2
92,2,0,0,2,2
93,2,0,0,2,2
94,3,1,1,2,2
95,3,0,1,2,2
96,3,0,1,2,2
97,3,0,1,2,2
98,3,0,1,2,2
99,3,0,1,2,2
100,4,1,2,2,2
101,4,0,2,2,2
102,4,0,2,2,2
103,4,0,2,2,2
104,4,0,2,2,2
105,4,0,2,2,2
106,5,1,3,2,2
107,5,0,3,2,2
108,5,0,3,2,2
109,5,0,3,2,2
110,5,0,3,2,2
111,5,0,3,2,2
112,6,1,5,2,2
113,6,0,5,2,2
114,6,0,5,2,2
115,6,0,5,2,2
116,6,0,5,2,2
117,6,0,5,2,2
118,7,1,6,2,2
119,7,0,6,2,2
120,7,0,6,2,2
121,7,0,6,2,2
122,7,0,6,2,2
123,7,0,6,2,2
124,8,1,7,2,2
125,8,0,7,2,2
126,8,0,7,2,2
127,8,0,7,2,2
128,8,0,7,2,2
129,8,0,7,2,2
130,9,1,8,2,2
131,9,0,8,2,2
132,9,0,8,2,2
133,9,0,8,2,2
134,9,0,8,2,2
135,9,0,8,2,2
136,10,1,9,2,2
137,10,0,9,2,2
138,10,0,9,2,2
139,10,0,9,2,2
140,10,0,9,2,2
141,10,0,9,2,2
142,11,1,10,2,2
143,11,0,10,2,2
144,11,0,10,2,2
145,11,0,10,2,2
146,11,0,10,2,2
147,12,1,11,2,2
148,12,0,11,2,2
149,12,0,11,2,2
150,12,0,11,2,2
151,12,0,11,2,2
152,13,1,12,2,2
153,13,0,12,2,2
154,13,0,12,2,2
155,13,0,12,2,2
156,13,0,12,2,2
157,14,1,13,2,2
158,14,0,13,2,2
159,14,0,13,2,2
160,14,0,13,2,2
161,14,0,13,2,2
162,14,0,13,2,2
163,15,1,14,2,2
164,15,0,14,2,2
165,15,0,14,2,2
166,15,0,14,2,2
167,15,0,14,2,2
168,16,1,15,2,2
169,16,0,15,2,2
170,16,0,15,2,2
171,16,0,15,2,2
172,16,0,15,2,2
173,16,0,15,2,2
174,17,1,16,2,2
175,17,0,16,2,2
176,17,0,16,2,2
177,17,0,16,2,2
178,17,0,16,2,2
179,18,1,17,2,2
180,18,0,17,2,2
