trame,seconde,camera,boucles,fps
50,1.0,58,9,9.0
100,2.0,68,9,9.0
150,3.0,76,8,8.0
200,4.0,86,9,9.0
250,5.0,95,8,8.0
300,6.0,105,9,9.0
350,7.0,114,9,9.0
400,8.0,123,8,8.0
450,9.0,133,9,9.0
500,10.0,142,8,8.0
550,11.0,152,9,9.0
600,12.0,161,9,9.0
650,13.0,171,9,9.0
700,14.0,180,9,9.0
750,15.0,189,9,9.0
800,16.0,198,9,9.0
850,17.0,208,10,10.0
900,18.0,217,10,10.0
950,19.0,227,10,10.0
1000,20.0,236,10,10.0
1050,21.0,246,10,10.0
1100,22.0,255,10,10.0
1150,23.0,264,10,10.0
1200,24.0,274,10,10.0
1250,25.0,283,9,9.0
1300,26.0,292,10,10.0
1350,27.0,301,10,10.0
1400,28.0,311,10,10.0
1450,29.0,320,10,10.0
1500,30.0,330,10,10.0
1550,31.0,339,10,10.0
1600,32.0,348,10,10.0
1650,33.0,358,10,10.0
1700,34.0,367,10,10.0
1750,35.0,377,10,10.0
1800,36.0,386,10,10.0
1850,37.0,396,10,10.0
1900,38.0,405,10,10.0
1950,39.0,415,10,10.0
2000,40.0,423,9,9.0
2050,41.0,433,10,10.0
2100,42.0,442,10,10.0
2150,43.0,452,10,10.0
2200,44.0,461,10,10.0
2250,45.0,471,10,10.0
2300,46.0,480,10,10.0
2350,47.0,490,10,10.0
2400,48.0,498,9,9.0
2450,49.0,508,10,10.0
2500,50.0,517,10,10.0
2550,51.0,527,10,10.0
2600,52.0,536,10,10.0
2650,53.0,546,10,10.0
2700,54.0,555,10,10.0
2750,55.0,564,10,10.0
2800,56.0,574,10,10.0
2850,57.0,583,10,10.0
2900,58.0,593,10,10.0
2950,59.0,602,10,10.0
3000,60.0,612,10,10.0
3050,61.0,621,10,10.0
3100,62.0,630,10,10.0
3150,63.0,639,9,9.0
3200,64.0,648,10,10.0
3250,65.0,658,10,10.0
3300,66.0,667,10,10.0
3350,67.0,677,10,10.0
3400,68.0,686,10,10.0
3450,69.0,696,10,10.0
3500,70.0,705,10,10.0
3550,71.0,715,10,10.0
3600,72.0,723,9,9.0
3650,73.0,733,10,10.0
3700,74.0,742,10,10.0
3750,75.0,752,10,10.0
3800,76.0,761,10,10.0
3850,77.0,770,10,10.0
3900,78.0,780,10,10.0
3950,79.0,789,10,10.0
4000,80.0,799,10,10.0
4050,81.0,808,10,10.0
4100,82.0,818,10,10.0
4150,83.0,827,10,10.0
4200,84.0,837,10,10.0
4250,85.0,846,9,9.0
4300,86.0,855,9,9.0
4350,87.0,864,9,9.0
4400,88.0,874,9,9.0
4450,89.0,883,9,9.0
4500,90.0,892,8,8.0
4550,91.0,901,9,9.0
4600,92.0,911,9,9.0
4650,93.0,920,8,8.0
4700,94.0,930,9,9.0
4750,95.0,939,9,9.0
4800,96.0,948,9,9.0
4850,97.0,958,10,10.0
4900,98.0,968,10,10.0
4950,99.0,976,9,9.0
5000,100.0,986,10,10.0
5050,101.0,995,9,9.0
5100,102.0,1005,10,10.0
5150,103.0,1008,9,9.0
5200,104.0,1008,9,9.0
5250,105.0,1008,10,10.0
5300,106.0,1008,10,10.0
5350,107.0,1008,9,9.0
5400,108.0,1008,10,10.0
5450,109.0,1008,9,9.0
5500,110.0,1008,9,9.0
5550,111.0,1008,10,10.0
5600,112.0,1008,10,10.0
5650,113.0,1008,10,10.0
5700,114.0,1008,10,10.0
5750,115.0,1008,10,10.0
5800,116.0,1008,10,10.0
5850,117.0,1008,43,43.0
5900,118.0,1008,50,50.0
5950,119.0,1008,50,50.0
6000,120.0,1008,50,50.0
6050,121.0,1008,50,50.0
6100,122.0,1008,50,50.0
6150,123.0,1008,50,50.0
6200,124.0,1008,50,50.0
6250,125.0,1008,50,50.0
6300,126.0,1008,50,50.0
6350,127.0,1008,50,50.0
6400,128.0,1008,42,42.0
6450,129.0,1008,0,0.0
6500,130.0,1008,0,0.0
6550,131.0,1008,0,0.0
6600,132.0,1008,0,0.0
6650,133.0,1008,0,0.0
6700,134.0,1008,0,0.0
6750,135.0,1008,0,0.0
6800,136.0,1008,0,0.0
6850,137.0,1008,0,0.0
6900,138.0,1008,0,0.0
6950,139.0,1008,0,0.0
7000,140.0,1008,0,0.0
7050,141.0,1008,0,0.0
