trame,seconde,camera,boucles,fps
50,1.0,80,7,7.0
100,2.0,89,7,7.0
150,3.0,99,7,7.0
200,4.0,107,6,6.0
250,5.0,117,7,7.0
300,6.0,126,6,6.0
350,7.0,136,7,7.0
400,8.0,145,6,6.0
450,9.0,154,6,6.0
500,10.0,163,6,6.0
550,11.0,172,6,6.0
600,12.0,181,6,6.0
650,13.0,190,6,6.0
700,14.0,199,6,6.0
750,15.0,208,6,6.0
800,16.0,217,6,6.0
850,17.0,226,6,6.0
900,18.0,235,6,6.0
950,19.0,245,7,7.0
1000,20.0,253,6,6.0
1050,21.0,264,7,7.0
1100,22.0,273,6,6.0
1150,23.0,282,6,6.0
1200,24.0,291,6,6.0
1250,25.0,301,7,7.0
1300,26.0,309,6,6.0
1350,27.0,320,7,7.0
1400,28.0,329,6,6.0
1450,29.0,337,6,6.0
1500,30.0,348,7,7.0
1550,31.0,356,6,6.0
1600,32.0,365,6,6.0
1650,33.0,374,6,6.0
1700,34.0,383,6,6.0
1750,35.0,392,6,6.0
1800,36.0,401,6,6.0
1850,37.0,410,6,6.0
1900,38.0,419,6,6.0
1950,39.0,428,6,6.0
2000,40.0,437,6,6.0
2050,41.0,446,6,6.0
2100,42.0,453,5,5.0
2150,43.0,462,6,6.0
2200,44.0,471,6,6.0
2250,45.0,480,6,6.0
2300,46.0,491,7,7.0
2350,47.0,500,6,6.0
2400,48.0,509,6,6.0
2450,49.0,519,7,7.0
2500,50.0,527,6,6.0
2550,51.0,537,8,8.0
2600,52.0,546,7,7.0
2650,53.0,556,8,8.0
2700,54.0,565,7,7.0
2750,55.0,575,8,8.0
2800,56.0,584,7,7.0
2850,57.0,592,7,7.0
2900,58.0,603,8,8.0
2950,59.0,612,7,7.0
3000,60.0,621,7,7.0
3050,61.0,631,7,7.0
3100,62.0,640,7,7.0
3150,63.0,649,7,7.0
3200,64.0,659,8,8.0
3250,65.0,668,7,7.0
3300,66.0,677,7,7.0
3350,67.0,687,7,7.0
3400,68.0,697,8,8.0
3450,69.0,706,8,8.0
3500,70.0,716,8,8.0
3550,71.0,724,7,7.0
3600,72.0,733,8,8.0
3650,73.0,743,8,8.0
3700,74.0,753,7,7.0
3750,75.0,762,7,7.0
3800,76.0,772,7,7.0
3850,77.0,780,6,6.0
3900,78.0,790,8,8.0
3950,79.0,800,7,7.0
4000,80.0,809,7,7.0
4050,81.0,818,7,7.0
4100,82.0,828,8,8.0
4150,83.0,837,7,7.0
4200,84.0,847,7,7.0
4250,85.0,855,7,7.0
4300,86.0,865,7,7.0
4350,87.0,874,7,7.0
4400,88.0,884,7,7.0
4450,89.0,893,7,7.0
4500,90.0,902,6,6.0
4550,91.0,912,7,7.0
4600,92.0,922,7,7.0
4650,93.0,930,6,6.0
4700,94.0,940,8,8.0
4750,95.0,949,7,7.0
4800,96.0,958,7,7.0
4850,97.0,968,7,7.0
4900,98.0,977,7,7.0
4950,99.0,987,7,7.0
5000,100.0,996,6,6.0
5050,101.0,1006,7,7.0
5100,102.0,1008,6,6.0
5150,103.0,1008,6,6.0
5200,104.0,1008,7,7.0
5250,105.0,1008,7,7.0
5300,106.0,1008,6,6.0
5350,107.0,1008,7,7.0
5400,108.0,1008,7,7.0
5450,109.0,1008,7,7.0
5500,110.0,1008,7,7.0
5550,111.0,1008,7,7.0
5600,112.0,1008,8,8.0
5650,113.0,1008,7,7.0
5700,114.0,1008,8,8.0
5750,115.0,1008,7,7.0
5800,116.0,1008,16,16.0
5850,117.0,1008,20,20.0
5900,118.0,1008,20,20.0
5950,119.0,1008,19,19.0
6000,120.0,1008,20,20.0
6050,121.0,1008,19,19.0
6100,122.0,1008,20,20.0
6150,123.0,1008,20,20.0
6200,124.0,1008,22,22.0
6250,125.0,1008,19,19.0
6300,126.0,1008,19,19.0
6350,127.0,1008,19,19.0
6400,128.0,1008,18,18.0
6450,129.0,1008,19,19.0
6500,130.0,1008,19,19.0
6550,131.0,1008,19,19.0
6600,132.0,1008,16,16.0
6650,133.0,1008,0,0.0
6700,134.0,1008,0,0.0
6750,135.0,1008,0,0.0
6800,136.0,1008,0,0.0
6850,137.0,1008,0,0.0
6900,138.0,1008,0,0.0
6950,139.0,1008,0,0.0
7000,140.0,1008,0,0.0
7050,141.0,1008,0,0.0
7100,142.0,1008,0,0.0
7150,143.0,1008,0,0.0
7200,144.0,1008,0,0.0
7250,145.0,1008,0,0.0
7300,146.0,1008,0,0.0
7350,147.0,1008,0,0.0
7400,148.0,1008,0,0.0
7450,149.0,1008,0,0.0
7500,150.0,1008,0,0.0
